Location Name,Latitude,Longitude
1 South Park UW Health Clinic,43.06680342511319,-89.40020542277203
1410 Engineering Dr,43.07272719828564,-89.40970558962663
206 Bernard Ct.,43.0715352259863,-89.40173218778257
21 N. Park St. and Lot 29 Ramp,43.06844777620731,-89.40006216983646
Adams Residence Hall,43.07818721689024,-89.40948817478788
Agricultural Dean's Residence,43.07712255108261,-89.41315956608663
Agricultural Engineering,43.07495502228637,-89.41058920312187
Agricultural Hall,43.075755432424074,-89.41028279117975
Agricultural Heating Station,43.076423316789985,-89.41165993969015
Air Force ROTC,43.06922563433749,-89.41028449595719
Arthur D. Hasler Laboratory of Limnology,43.077364113311305,-89.40211481167101
Atmospheric Oceanic and Space Sciences,43.07112252787323,-89.4067076840943
Babcock Hall,43.075109210842754,-89.41298603011263
Bardeen Medical Laboratories,43.075005726078025,-89.40690150127777
Barnard Residence Hall,43.07386786436514,-89.40228546079176
Bascom Hall,43.07598073284272,-89.40409223380094
Birge Hall,43.07466416402129,-89.4037922454522
Bradley Memorial Building,43.075014684817646,-89.40771993380099
Brat Stand,43.07695934286958,-89.39996431846139
Brogden Psychology,43.07279082030154,-89.40608381477321
Camp Randall Sports Center,43.0700621355611,-89.41267637428719
Camp Randall Stadium,43.0700621355611,-89.41267637428719
Carillon Tower,43.0765491401681,-89.40493703059875
Carson Gulley Center,43.077479267321216,-89.41127663011258
Chadbourne Residence Hall,43.07385692828167,-89.40125268962657
Chemistry Building,43.073404989986976,-89.40442770312194
Civil War Stockade,43.070501138004516,-89.40997122518849
Computer Sciences and Statistics,43.07157652534396,-89.40667005637737
Conrad A. Elvehjem Building,43.07365589497608,-89.39950578787533
D.C. Smith Greenhouse,43.07514044732658,-89.41252850360843
Davis Residence Hall,43.071920456156505,-89.40162729529706
DeLuca Biochemical Sciences Building,43.07426585886771,-89.41137683776401
DeLuca Biochemistry Building,43.07387374220141,-89.41057840503112
DeLuca Biochemistry Laboratories,43.074200041458845,-89.41202724977201
Education Building,43.07582515847258,-89.40227187428702
Educational Sciences,43.07182049988515,-89.40364032999419
Engineering Centers Building,43.072816720353636,-89.41348671220089
Engineering Drive Ramp (Lot 17),43.0722078259377,-89.41236148962668
Engineering Hall,43.071799199554675,-89.410302904096
Engineering Research Building,43.07262633748796,-89.41145500898473
Environmental Health and Safety Building,43.06899136277023,-89.39962333129839
Fire Station No. 4,43.06864616519514,-89.41080203623162
Genetics-Biotechnology Center Building,43.07386452102015,-89.40958133583081
Gilman House,43.07810337055006,-89.41297176046223
Helen C White Hall,43.076638612566235,-89.40142087428694
Hiram Smith Hall,43.07604191172234,-89.4115338439663
Hiram Smith Hall Annex,43.07611639342991,-89.41130415824219
Horticulture,43.07498677023043,-89.41210415900755
Humphrey Hall,43.077529230488864,-89.41293262034327
Italian Workmen's Club,43.06788864693921,-89.40178954545243
Jorns Hall,43.07783144737518,-89.41255763069879
King Hall,43.07632512585553,-89.41077329803743
Lathrop Hall,43.07373024645246,-89.40289534119042
Law Building,43.07456872973404,-89.40227919129087
Lot 36 - Observatory Drive Ramp,43.07633049887737,-89.4143102736792
Luther Memorial Church,43.07319694108141,-89.4034453183122
Mack House,43.078022894254936,-89.4134644109923
Mark H Ingraham Hall,43.07582297324565,-89.4051373108294
Materials Science and Engineering,43.07316519030461,-89.41128524545223
McArdle Building,43.07832423191598,-89.43118816322192
McClain Athletic Facility,43.071096977478675,-89.410994641764
Mechanical Engineering Building,43.07325802943067,-89.41261962214982
Medical Sciences,43.07523799903593,-89.41947877463258
Medical Sciences Center,43.07473932080591,-89.40722431477319
Memorial Arch,43.071140796053825,-89.40939430312207
Memorial Union,43.07639637072054,-89.39915399633155
Merit Residence Hall,43.07099962797493,-89.40086012701076
Microbial Sciences Building,43.075949806767845,-89.4120993301126
Moore Hall,43.075322623264746,-89.41197058456386
Mosse Humanities Building,43.074264316210346,-89.39999075894754
Music Hall,43.07473995576511,-89.4011734888215
Nancy Nicholas Hall,43.0757935000352, -89.40879225725946
North Hall,43.07573173701763,-89.40293574838637
Nutritional Sciences,43.07528132318681,-89.40869808458064
Ogg Residence Hall,43.070701803336306,-89.39997891846167
Park Regent Apartments,43.067948613749316,-89.40116607969884
Plant Sciences,40.10273309942446,-88.22207788789923
Porter Boathouse,43.07844036575354,-89.4125047896264
Radio Hall,43.076128671371016,-89.40162544545211
Regent Street Liquor,43.068016025798656,-89.40196827428731
Robert M. Bock Laboratories,43.075072588463726,-89.41111560312196
Robert M. Lafollette School of Public Affairs,43.07659377224728,-89.40763406079162
Russell Laboratories,43.07550935123583,-89.41288153991962
School of Social Work Building,43.07443062718119,-89.40817764545214
Science Hall,43.0760337084782,-89.40113486079166
Service Memorial Institute,43.074466393948406,-89.40559168099205
Slichter Residence Hall,43.077320778612616,-89.41224248962646
Smith Residence Hall,43.069060050778916,-89.40051500312212
Soils Building,43.07666052290343,-89.41054696934077
South Hall,43.07488767823853,-89.40311038962655
Steenbock Memorial Library,43.07634537618773,-89.41251624603835
Sterling Hall,43.07506510670488,-89.40515451535941
Stovall Building (Wisconsin State Laboratory of Hygiene),43.07483753023338,-89.40981421661728
Taylor Hall,43.07431066244594,-89.40936302414677
Teacher Education,43.0715282758516,-89.40357534545237
The Crossing,43.07342467443374,-89.40548507853062
Thomas C. Chamberlin Hall,43.074197336896155,-89.40521306496682
Tripp Residence Hall,43.07816241022746,-89.41071306875448
Turner House,43.07859620192356,-89.41314054545205
Union South,43.07237214521556,-89.40638040060628
University Avenue Ramp (Lot 20),43.07426706459332,-89.408829703122
University Club,43.07467074150183,-89.39923481477314
UW Credit Union,43.07528937321683,-89.39578017339699
UW Health 20 South Park Street Clinic North Building,43.06710832738074,-89.40152215006671
Van Hise Hall,43.07553533905145,-89.40643924545212
Van Vleck Hall,43.0750519327288,-89.40469882214975
Vilas Communication Hall,43.07280135573817,-89.39989218962666
Washburn Observatory,43.076480404494596,-89.40864370739645
Water Science & Engineering Laboratory,43.07741394735866,-89.40194901846135
Waters Residence Hall,43.07718176303771,-89.40703253380083
Wendt Commons,43.07179853223041,-89.40794802701076
William H. Sewell Social Sciences Building,43.07629286576178,-89.40433029079904
William S. Middleton Office Building,43.0747118080036,-89.43081547479856
Wisconsin Energy Institute,43.073763426861774,-89.41290790429449
Wisconsin Institute for Discovery,43.07305042296575,-89.40777588099213
Wisconsin State Historical Society,43.07546836280054,-89.40006111584472
X01,43.073020165243406,-89.40261064545223